"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @hobilvrs218: j-hope glows the most on stage. I want to to see more of him. 
Give us #JHOPEWorldtour @BIGHIT_MUSIC @HYBEOFFICIALtwt @bts…",FALSE,0,NA,2022-12-04 23:28:05,FALSE,NA,"1599546110498213890",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","kaeleol6",23,TRUE,FALSE,NA,NA
"RT @BTSfullscreenhd: Jung Hoseok Insta Post (Dec-05-222) Fullscreen Wallpaper/Lockscreen (2/2)💜

He paved the path✨🤏

WE WILL WAIT FOR YOU…",FALSE,0,NA,2022-12-04 23:19:39,FALSE,NA,"1599543989421879296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abril_f1",5,TRUE,FALSE,NA,NA
"RT @BTSfullscreenhd: Jung Hoseok Insta Post (Dec-05-222) Fullscreen Wallpaper/Lockscreen (1/2)💜

The hottest scientist 😏🔥

WE WILL WAIT FOR…",FALSE,0,NA,2022-12-04 23:19:16,FALSE,NA,"1599543890696032256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abril_f1",10,TRUE,FALSE,NA,NA
"RT @yari74: Their addresses on blast 🤞🎯💯 #ShaquellaRobinson #JusticeMatters #guilty #SpotifyWrapped #ForDanmark #MAMA2022 #WorldCup https:/…",FALSE,0,NA,2022-12-04 23:18:04,FALSE,NA,"1599543588785770496",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","sissyroxx",6,TRUE,FALSE,NA,NA
"RT @ssssharkyyyy: Wild fox #straykids #MAMA2022 #StrayKidsAt2022MAMA #yangjeongin #I_N https://t.co/js7gdHKoY7",FALSE,0,NA,2022-12-04 23:06:12,FALSE,NA,"1599540605264138240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hanjitheone",364,TRUE,FALSE,NA,NA
"gosh, how can antalogy take album of the year? do they have no criteria for selecting ""new"" releases or do BTS now… https://t.co/UUtzvi2NF6",FALSE,0,NA,2022-12-04 23:04:41,TRUE,NA,"1599540221657640960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tayyoyyo",0,FALSE,FALSE,NA,NA
"RT @SpaceBit_NG: We active and buying your crypto currency’s &amp; gift cards at a higher exchange rate… click the whatsapp link on our Bio for…",FALSE,0,NA,2022-12-04 22:58:46,FALSE,NA,"1599538733283364864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SpaceBit_NG",1,TRUE,FALSE,NA,NA
"RT @ddia__ryy: I don't have any argument over this man's achievement because he deserves it. I officially join his fandom. He's another IU…",FALSE,0,NA,2022-12-04 22:56:37,FALSE,NA,"1599538193170563072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yks0616",169,TRUE,FALSE,NA,NA
"RT @springflowerjay: JAY vibing to J-HOPE performing Arson was featured on a clip posted by MAMA on TikTok. 

#ENHYPEN_JAY #JHOPE #MAMA2022…",FALSE,0,NA,2022-12-04 22:54:16,FALSE,NA,"1599537601639170048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ariieon",181,TRUE,FALSE,NA,NA
"RT @woong8190: [2022 MAMA] Lim Young Woong X Monika - If We Ever Meet Again | Mnet 2211... https://t.co/P5SI7AU2ck 출처 @YouTube 
임영웅 [ 2022…",FALSE,0,NA,2022-12-04 22:50:10,FALSE,NA,"1599536568804704256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yuriyurihero",15,TRUE,FALSE,NA,NA
"RT @Kpop_Herald: [#2022MAMA] Produce 101 Japan winner @official_jo1 graces the red carpet of @MnetMAMA! #MAMAAWARDS #JO1 #MAMA2022 #MAMAAWA…",FALSE,0,NA,2022-12-04 22:31:00,FALSE,NA,"1599531743404429312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kima_usagi05",1887,TRUE,FALSE,NA,NA
"[📸] 221204 | ENHYPEN OFFICIAL Update

📝: The stage performance that we burned up together with ENGENEs on the 2nd a… https://t.co/nhIBKcHP8L",FALSE,3,NA,2022-12-04 22:29:56,TRUE,NA,"1599531476525060096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LeeHeeseungPH",0,FALSE,FALSE,NA,NA
"RT @bpnationrise: Yeo Jin Goo and Kim So Hyun reunited at last.🥹💕 #MAMA2022 

 https://t.co/GroMPIYpvY",FALSE,0,NA,2022-12-04 22:26:59,FALSE,NA,"1599530733361430528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prettysohyun",7,TRUE,FALSE,NA,NA
"RT @ddia__ryy: I don't have any argument over this man's achievement because he deserves it. I officially join his fandom. He's another IU…",FALSE,0,NA,2022-12-04 22:23:08,FALSE,NA,"1599529765501009922",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","0miRCJwP3V3lgOo",169,TRUE,FALSE,NA,NA
